iter	Passed	Remaining
0	59	11797
1	86	8601
2	113	7443
3	146	7169
4	167	6522
5	183	5942
6	197	5440
7	208	5009
8	219	4649
9	231	4397
10	243	4178
11	254	3982
12	265	3824
13	277	3686
14	288	3552
15	299	3442
16	311	3348
17	323	3267
18	333	3178
19	345	3107
20	356	3036
21	366	2968
22	378	2910
23	388	2852
24	399	2796
25	412	2757
26	424	2722
27	436	2679
28	447	2636
29	459	2605
30	472	2575
31	484	2545
32	496	2511
33	508	2480
34	518	2446
35	529	2410
36	540	2380
37	551	2350
38	562	2322
39	574	2298
40	585	2272
41	597	2247
42	635	2319
43	655	2325
44	678	2336
45	695	2326
46	709	2308
47	723	2292
48	737	2273
49	754	2263
50	767	2241
51	779	2217
52	790	2193
53	801	2168
54	812	2142
55	824	2119
56	835	2095
57	846	2073
58	859	2053
59	871	2034
60	887	2021
61	901	2006
62	916	1993
63	928	1972
64	938	1949
65	950	1930
66	963	1911
67	974	1891
68	985	1871
69	997	1851
70	1007	1830
71	1019	1812
72	1031	1795
73	1044	1777
74	1054	1758
75	1066	1740
76	1078	1723
77	1089	1703
78	1100	1685
79	1111	1667
80	1122	1648
81	1132	1630
82	1144	1613
83	1156	1596
84	1172	1585
85	1183	1569
86	1195	1553
87	1208	1538
88	1219	1521
89	1231	1505
90	1244	1490
91	1256	1474
92	1267	1457
93	1278	1441
94	1291	1427
95	1309	1418
96	1325	1407
97	1340	1395
98	1351	1379
99	1362	1362
100	1372	1345
101	1382	1328
102	1393	1312
103	1405	1297
104	1416	1281
105	1427	1265
106	1438	1250
107	1453	1237
108	1465	1223
109	1476	1208
110	1488	1193
111	1499	1178
112	1509	1162
113	1521	1147
114	1533	1133
115	1543	1117
116	1554	1102
117	1564	1087
118	1575	1072
119	1586	1057
120	1598	1043
121	1609	1029
122	1620	1014
123	1631	1000
124	1642	985
125	1668	979
126	1686	969
127	1705	959
128	1722	948
129	1740	937
130	1754	923
131	1765	909
132	1776	895
133	1787	880
134	1798	866
135	1809	851
136	1820	837
137	1831	822
138	1842	808
139	1853	794
140	1864	779
141	1876	766
142	1887	752
143	1899	738
144	1911	725
145	1922	711
146	1933	697
147	1945	683
148	1955	669
149	1966	655
150	1977	641
151	1988	627
152	1999	614
153	2012	601
154	2025	587
155	2036	574
156	2047	560
157	2059	547
158	2070	533
159	2080	520
160	2091	506
161	2102	493
162	2114	480
163	2126	466
164	2138	453
165	2149	440
166	2161	427
167	2172	413
168	2183	400
169	2194	387
170	2205	374
171	2217	360
172	2227	347
173	2238	334
174	2249	321
175	2260	308
176	2271	295
177	2281	281
178	2292	268
179	2304	256
180	2315	243
181	2326	230
182	2337	217
183	2348	204
184	2357	191
185	2369	178
186	2379	165
187	2389	152
188	2400	139
189	2411	126
190	2422	114
191	2433	101
192	2444	88
193	2455	75
194	2467	63
195	2478	50
196	2488	37
197	2499	25
198	2510	12
199	2521	0
